fips,year,county,corn_yield,lag1_yield,year_centered,w01_early_tavg,w02_early_prcp,w03_repro_tavg,w04_repro_prcp,w05_grainfill_tavg,w06_grainfill_prcp,e01_hot_days_30,e02_heat_above_35,e03_longest_dry_spell,e04_max_5day_prcp
18001,2001,ADAMS,154.8,141.7,1,18.7327868852459,209.96,22.763870967741934,142.01,19.894426229508195,193.91,13,0,10,56.28000000000003
18001,2002,ADAMS,93.7,154.8,2,18.09245901639344,171.82999999999998,24.970645161290324,82.96,21.85983606557377,155.29999999999998,22,0.259999999999998,9,57.33
18001,2003,ADAMS,132.9,93.7,3,16.95622950819672,308.63,22.29,255.37,19.763934426229508,307.25,5,0,8,185.39000000000004
18001,2004,ADAMS,165.3,132.9,4,18.966229508196722,290.44,21.729032258064517,131.27,19.594754098360657,198.62,6,0,7,104.91
18001,2005,ADAMS,139.1,165.3,5,18.431311475409835,116.58,23.776774193548388,100.56,21.744426229508196,189.39,14,0,9,38.330000000000005
18001,2006,ADAMS,147.1,139.1,6,17.819016393442624,217.88,23.926774193548386,96.69,19.51983606557377,142.85,12,0,7,69.52
18001,2007,ADAMS,142.1,147.1,7,20.202786885245903,74.44,21.866451612903226,65.28,21.738196721311475,278.23,7,0,7,36.019999999999996
18001,2008,ADAMS,150,142.1,8,17.91704918032787,269.90999999999997,22.634516129032257,80.19,20.564098360655738,105.41,8,0,21,61.09
18001,2009,ADAMS,167,150,9,18.499344262295082,188.62,20.498064516129034,61.43,19.654426229508196,101.27,1,0,9,42.22
18001,2010,ADAMS,143.6,167,10,19.930819672131147,336.28,24.436129032258066,96.66,21.46049180327869,120.27,19,0,9,77.52000000000001
18001,2011,ADAMS,146.9,143.6,11,19.032131147540984,276.3,26.116129032258065,23.19,19.80655737704918,261.13,28,6.36999999999999,11,86.68
18001,2012,ADAMS,111.8,146.9,12,20.823770491803277,103.46000000000001,25.919354838709676,96.79,19.509836065573772,245.56,25,12.910000000000004,12,45.620000000000005
18001,2013,ADAMS,176.7,111.8,13,19.4972131147541,179.74,22.260645161290324,113.57,19.770491803278688,139.47,8,0,12,60.72
18001,2014,ADAMS,183.3,176.7,14,19.18918032786885,239.48000000000002,20.28,84.26,19.435737704918033,243.12,1,0,8,76.39
18001,2015,ADAMS,103.5,183.3,15,19.208524590163933,447.57,21.877741935483872,226.98,20.67737704918033,157.84,4,0,6,129.44
