feature,n,unique_values,min,q1,median,mean,q3,max,sd
e01_hot_days_30,2024,32,0,7,13,13.298913043478262,19,31,7.688580152382642
e02_heat_above_35,2024,243,0,0,0,1.2833201581027671,0,57.39000000000001,5.940626336478975
e03_longest_dry_spell,2024,21,4,8,9,10.006422924901186,11,25,3.3134872083604767
e04_max_5day_prcp,2024,1942,24.54,60.872499999999995,75.54000000000002,78.60628458498024,90.36500000000002,253.95999999999998,28.12011771308515
w01_early_tavg,2024,1966,15.801639344262295,18.499139344262296,19.353032786885244,19.46891928011404,20.352049180327867,24.151311475409837,1.3468269993154902
w02_early_prcp,2024,1969,43.13,203.5175,250.70999999999998,248.57855731225297,294.945,532.74,75.39861748158995
w03_repro_tavg,2024,1922,19,22.321290322580644,23.371451612903225,23.44964650006375,24.563387096774193,29.08967741935484,1.6925396925349723
w04_repro_prcp,2024,1907,11,76.625,106.50999999999999,112.11456027667984,140.555,367.62,48.434281496961056
w05_grainfill_tavg,2024,1955,18.465245901639346,19.975532786885246,20.944262295081966,21.074845461025077,21.948442622950818,25.688852459016392,1.343398252922072
w06_grainfill_prcp,2024,1968,30.44,124.38000000000001,178.705,182.54928359683794,230.2975,421.23,71.5558942202356
