year,counties,counties_nonzero,percent_nonzero,mean_e02,median_e02,max_e02
2000,92,0,0,0,0,0
2001,92,4,4.3478260869565215,0.004673913043478335,0,0.17999999999999972
2002,92,36,39.130434782608695,0.22478260869565247,0,2.770000000000003
2003,92,0,0,0,0,0
2004,92,0,0,0,0,0
2005,92,29,31.521739130434785,0.13771739130434807,0,1.2900000000000063
2006,92,5,5.434782608695652,0.00880434782608698,0,0.5300000000000011
2007,92,0,0,0,0,0
2008,92,2,2.1739130434782608,0.0021739130434782917,0,0.19000000000000483
2009,92,0,0,0,0,0
2010,92,6,6.521739130434782,0.030217391304347915,0,1.0800000000000054
2011,92,92,100,3.129456521739132,3.1499999999999986,6.499999999999993
2012,92,92,100,24.626086956521743,18.850000000000005,57.39000000000001
2013,92,0,0,0,0,0
2014,92,0,0,0,0,0
2015,92,0,0,0,0,0
2016,92,0,0,0,0,0
2017,92,12,13.043478260869565,0.05673913043478298,0,1.230000000000011
2018,92,9,9.782608695652174,0.012391304347826171,0,0.28000000000000114
2019,92,0,0,0,0,0
2020,92,0,0,0,0,0
2021,92,0,0,0,0,0
