validation_year,rmse_Both W03 and E01,rmse_W03 only,rmse_E01 only,mae_Both W03 and E01,mae_W03 only,mae_E01 only
2012,33.10721539097248,30.032609328007528,31.8750624908341,29.636850505377186,26.02996474596728,28.162184816756376
2013,24.454430274079126,23.56941503587887,24.902252467690897,21.917787090969163,21.08363731744803,22.349439380477474
2014,12.478331941849346,11.52030636692666,14.117056230730956,10.859588846673645,9.767596005450605,12.433004341549166
2015,37.6634099876233,37.468389154383836,37.99635800648467,30.56761391132054,30.371120360520376,31.06435572370279
2016,20.910115871081175,20.87722367636075,20.987281447169075,18.821379824256713,18.772565932495205,18.89867771693182
2017,12.172263682574883,12.164878849039189,12.211713817043782,10.103775530188983,10.081356039150538,10.13362215190123
2018,24.413613032930833,24.518904106589062,23.570410409177434,22.30741879377195,22.423534869558903,21.372903748941543
2019,12.07286630807175,11.654413514666846,13.15015802292482,9.7884131876925,9.419965432998804,10.780623740405249
2020,15.565339489396779,15.363886402471818,16.61360972905786,13.531388615091371,13.38562549271493,14.21449099431599
2021,18.252487954434095,18.263427230733505,18.76023445517627,15.818792378273733,15.817217344726872,16.22228011554444
